pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
TOI-519 b,Transit,0,,,,,3225.00,0.36,,,,5.00,,
TOI-530 b,Transit,0,0.052000,,0.93000,0.000000,3659.00,0.54,0.53,0.376,-1.310,4.70,,4.2780
TOI-530 b,Transit,0,,,,,3688.00,0.54,,,,4.78,,
TOI-532 b,Transit,0,,,,,3946.00,0.61,,,,4.69,,
TOI-532 b,Transit,0,0.029600,,1.72000,0.000000,3927.00,0.61,0.64,0.338,-1.095,4.67,7.100,3.9200
TOI-540 b,Transit,0,,,,,3042.00,0.20,,,,4.44,,
TOI-540 b,Transit,0,0.012230,,,0.000000,3216.00,0.19,0.16,,-2.461,,1.100,
TOI-558 b,Transit,0,0.129100,,3.50000,0.298000,6466.00,1.50,1.35,-0.004,0.547,4.22,1.790,0.5680
TOI-558 b,Transit,0,,,,,6025.80,1.76,,,,4.00,,
TOI-559 b,Transit,0,,,,,5972.00,1.21,,,,4.31,,
TOI-559 b,Transit,0,0.072300,,5.74000,0.151000,5925.00,1.23,1.03,-0.069,0.227,4.27,6.800,0.7740
TOI-561 b,Transit,0,0.010550,,3.00000,0.000000,5455.00,0.85,0.79,-0.330,,4.47,5.000,1.8090
TOI-561 b,Transit,0,0.010640,,5.50000,0.000000,5326.00,0.83,0.81,-0.410,-0.282,4.50,10.000,1.9500
TOI-561 b,Transit,0,,,,,5391.00,0.88,,,,4.53,,
TOI-561 c,Transit,0,0.088090,,1.30000,0.060000,5455.00,0.85,0.79,-0.330,,4.47,5.000,1.8090
TOI-561 c,Transit,0,,,,,5391.00,0.88,,,,4.53,,
TOI-561 c,Transit,0,0.088800,,1.60000,0.000000,5326.00,0.83,0.81,-0.410,-0.282,4.50,10.000,1.9500
TOI-561 d,Transit,1,0.156900,,4.10000,0.051000,5455.00,0.85,0.79,-0.330,,4.47,5.000,1.8090
TOI-561 e,Transit,1,0.327400,,4.60000,0.061000,5455.00,0.85,0.79,-0.330,,4.47,5.000,1.8090
TOI-561 f,Transit,1,,,,,5391.00,0.88,,,,4.53,,
TOI-561 f,Transit,1,0.117400,,1.30000,0.000000,5326.00,0.83,0.81,-0.410,-0.282,4.50,10.000,1.9500
TOI-564 b,Transit,0,0.027340,,1.70000,0.072000,5640.00,1.09,1.00,0.143,0.033,4.36,7.300,1.0950
TOI-564 b,Transit,0,,,,,5752.00,1.12,,,,4.47,,
TOI-628 b,Transit,0,,,,,6174.00,1.38,,,,4.23,,
TOI-628 b,Transit,0,0.048600,,6.58000,0.072000,6250.00,1.34,1.31,0.258,0.394,4.30,1.280,0.7620
TOI-640 b,Transit,0,,,,,6442.00,2.09,,,,3.91,,
TOI-640 b,Transit,0,0.066080,,0.19500,0.050000,6460.00,2.08,1.54,0.072,0.834,3.99,1.990,0.2400
TOI-674 b,Transit,0,0.025000,,0.91000,0.000000,3514.00,0.42,0.42,0.170,-1.614,4.81,,10.1400
TOI-674 b,Transit,0,,,,,3467.00,0.42,,,,4.88,,
TOI-677 b,Transit,0,,,,,6446.00,1.22,,,,4.38,,
TOI-677 b,Transit,0,0.103800,,,0.435000,6295.00,1.28,1.18,0.000,,4.29,2.920,0.8000
TOI-700 b,Transit,0,0.067700,,,0.081000,3461.00,0.42,0.41,-0.070,-1.635,4.80,,7.6800
TOI-700 b,Transit,0,0.063700,,,0.032000,3480.00,0.42,0.42,-0.070,-1.633,4.81,1.500,8.0000
TOI-700 b,Transit,0,,,,,3482.00,0.42,,,,4.44,,
TOI-700 c,Transit,0,,,,,3482.00,1.00,,,,4.44,,
TOI-700 c,Transit,0,0.092900,,,0.078000,3461.00,0.42,0.41,-0.070,-1.635,4.80,,7.6800
TOI-700 c,Transit,0,0.092500,,,0.033000,3480.00,0.42,0.42,-0.070,-1.633,4.81,1.500,8.0000
TOI-700 d,Transit,0,0.163300,,,0.111000,3461.00,0.42,0.41,-0.070,-1.635,4.80,,7.6800
TOI-700 d,Transit,0,0.163000,,,0.032000,3480.00,0.42,0.42,-0.070,-1.633,4.81,1.500,8.0000
TOI-700 d,Transit,0,,,,,3482.00,1.00,,,,4.44,,
TOI-763 b,Transit,0,0.060000,10.02000,4.51000,0.040000,5450.00,0.90,0.92,0.010,,4.45,,
TOI-763 b,Transit,0,,,,,5767.00,1.13,,,,4.35,,
TOI-763 c,Transit,0,0.101100,9.50000,2.82000,0.040000,5450.00,0.90,0.92,0.010,,4.45,,
TOI-763 c,Transit,0,,,,,5767.00,1.13,,,,4.35,,
TOI-776 b,Transit,0,0.065200,,3.40000,0.060000,3709.00,0.54,0.54,-0.200,-1.310,4.73,7.800,6.0240
TOI-776 b,Transit,0,,,,,3806.00,0.55,,,,4.74,,
TOI-776 c,Transit,0,,,,,3806.00,0.55,,,,4.74,,
TOI-776 c,Transit,0,0.100000,,3.50000,0.040000,3709.00,0.54,0.54,-0.200,-1.310,4.73,7.800,6.0240
TOI-813 b,Transit,0,0.423000,,,0.000000,5907.00,1.94,1.32,0.100,,3.86,3.730,0.2540
TOI-813 b,Transit,0,,,,,5823.70,2.04,,,,3.77,,
TOI-824 b,Transit,0,,,,,4452.00,0.78,,,,4.50,,
TOI-824 b,Transit,0,0.021770,,4.03000,,4600.00,0.69,0.71,-0.092,-0.710,4.61,7.500,2.9800
TOI-837 b,Transit,0,,,,,6513.00,1.03,,,,4.54,,
TOI-837 b,Transit,0,,381.39600,,0.000000,6047.00,1.02,1.12,-0.069,,4.47,0.035,1.4000
TOI-849 b,Transit,0,0.015980,,5.20000,0.000000,5373.80,0.92,0.93,0.190,,4.48,6.700,1.6850
TOI-849 b,Transit,0,,,,,5311.00,0.92,,,,4.47,,
TOI-892 b,Transit,0,,,,,7723.00,1.35,,,,4.43,,
TOI-892 b,Transit,0,0.092000,,,0.125000,6261.00,1.39,1.28,0.240,0.431,4.26,2.200,0.4820
TOI-905 b,Transit,0,,,,,5565.00,0.96,,,,4.46,,
TOI-905 b,Transit,0,0.046660,,0.51500,0.024000,5570.00,0.92,0.97,0.140,-0.137,4.50,3.400,1.7600
TOI-942 b,Transit,0,,,,,4945.00,0.91,,,,4.43,,
TOI-942 b,Transit,0,0.047960,,,0.000000,4928.00,1.02,0.79,-0.221,-0.369,4.31,0.090,
TOI-942 b,Transit,0,0.049800,,,0.285000,4969.00,0.89,0.88,0.000,-0.359,,0.050,1.6340
TOI-942 c,Transit,0,0.088000,,,0.175000,4969.00,0.89,0.88,0.000,-0.359,,0.050,1.6340
TOI-942 c,Transit,0,0.084700,,,0.000000,4928.00,1.02,0.79,-0.221,-0.369,4.31,0.090,
TOI-954 b,Transit,0,0.049630,55.30242,0.35000,0.140000,5710.00,1.89,1.20,0.215,0.535,3.96,6.140,0.2490
TOI-954 b,Transit,0,,,,,5756.00,1.93,,,,3.88,,
TRAPPIST-1 b,Transit,0,0.011110,,3.60000,0.081000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 b,Transit,0,0.011110,,,0.000000,2550.00,0.12,0.08,0.040,-3.280,,0.500,70.9000
TRAPPIST-1 b,Transit,0,0.011548,,4.00000,0.006220,,,0.09,,,,,
TRAPPIST-1 b,Transit,0,0.011540,,5.44194,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 b,Transit,0,,,,,,0.11,0.09,,,5.28,,84.5308
TRAPPIST-1 c,Transit,0,0.015210,,6.45000,0.083000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 c,Transit,0,0.015220,,,0.000000,2550.00,0.12,0.08,0.040,-3.280,,0.500,70.9000
TRAPPIST-1 c,Transit,0,0.015800,,5.46399,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 c,Transit,0,,,,,,0.11,0.09,,,5.28,,84.5308
TRAPPIST-1 c,Transit,0,0.015815,,4.87000,0.006540,,,0.09,,,,,
TRAPPIST-1 d,Transit,0,0.021440,,4.90000,0.070000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 d,Transit,0,0.022270,,4.36678,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 d,Transit,0,0.022280,,3.40000,0.008370,,,0.09,,,,,
TRAPPIST-1 e,Transit,0,0.029250,,4.90160,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 e,Transit,0,0.029283,,5.64600,0.005100,,,0.09,,,,,
TRAPPIST-1 e,Transit,0,0.028170,,4.40000,0.085000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 f,Transit,0,0.038534,,4.50000,0.010070,,,0.09,,,,,
TRAPPIST-1 f,Transit,0,0.037100,,3.30000,0.063000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 f,Transit,0,0.038490,,5.02290,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 g,Transit,0,0.046830,,5.05599,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 g,Transit,0,0.045100,,5.20000,0.061000,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 g,Transit,0,0.046877,,4.18000,0.002080,,,0.09,,,,,
TRAPPIST-1 h,Transit,0,0.061890,,4.16278,,2566.00,0.12,0.09,,-3.257,5.24,,75.0500
TRAPPIST-1 h,Transit,0,0.063000,,,,2559.00,0.12,0.08,0.040,-3.281,,,71.5000
TRAPPIST-1 h,Transit,0,0.061935,,3.96000,0.005670,,,0.09,,,,,
TRAPPIST-1 h,Transit,0,,,,,,0.11,0.09,,,5.28,,84.5308
TYC 0434-04538-1 b,Radial Velocity,0,0.660000,1938.76300,,0.080000,4679.00,9.99,1.04,-0.380,1.670,2.49,,
TYC 1422-614-1 b,Radial Velocity,0,0.690000,794.50000,,0.060000,4806.00,6.85,1.15,-0.200,1.350,2.85,5.890,
TYC 1422-614-1 c,Radial Velocity,0,1.370000,3178.00000,,0.048000,4806.00,6.85,1.15,-0.200,1.350,2.85,5.890,
TYC 3318-01333-1 b,Radial Velocity,0,1.414000,1086.97860,,0.098000,4776.00,5.90,1.19,-0.060,1.210,2.97,,
TYC 3667-1280-1 b,Radial Velocity,0,0.210000,1716.28200,,0.036000,5130.00,6.26,1.87,-0.080,1.380,3.11,1.350,
TYC 4282-00605-1 b,Radial Velocity,0,0.422000,3426.20740,,0.280000,4300.00,16.21,0.97,-0.070,1.910,2.00,10.100,
TYC 8998-760-1 b,Imaging,0,162.000000,,,,4573.00,,1.00,,-0.339,,0.017,
TYC 8998-760-1 c,Imaging,0,320.000000,,,,,,1.00,,,,0.017,
Teegarden's Star b,Radial Velocity,0,0.025200,1.05000,,0.000000,2904.00,0.11,0.09,-0.190,-3.137,,8.000,
Teegarden's Star c,Radial Velocity,0,0.044300,1.11000,,0.000000,2904.00,0.11,0.09,-0.190,-3.137,,8.000,
TrES-1 b,Transit,0,0.039460,,0.76200,,5226.00,0.82,0.89,0.060,,4.56,3.400,2.2990
TrES-1 b,Transit,0,,,,,5242.82,0.86,0.90,0.041,-0.301,4.52,,2.0043
TrES-1 b,Transit,0,0.039250,,0.76900,,5230.00,0.81,0.88,0.020,-0.359,4.57,3.700,2.4000
TrES-1 b,Transit,0,0.039300,,,,5250.00,0.85,0.88,,,4.50,,
TrES-1 b,Transit,0,0.039260,,0.71200,0.012000,5230.00,0.81,0.88,0.020,,,3.700,
TrES-1 b,Transit,0,,,,,5242.82,0.86,0.90,0.041,-0.301,4.52,,2.0043
TrES-1 b,Transit,0,,,,,5242.82,0.86,0.90,0.041,-0.301,4.52,,2.0043
TrES-1 b,Transit,0,,,,0.000000,5230.00,0.85,1.04,0.020,,4.57,,2.3700
TrES-1 b,Transit,0,,,,,,0.81,0.89,,,,,
TrES-1 b,Transit,0,,,,0.000000,,0.82,0.87,,,,,
TrES-2 b,Transit,0,,,,0.000000,,1.00,0.98,,,,,
TrES-2 b,Transit,0,0.035550,,0.93200,,,0.96,,,,4.46,,1.5440
TrES-2 b,Transit,0,0.036000,,,0.000000,5814.00,1.06,0.99,,,4.38,6.500,
TrES-2 b,Transit,0,0.035400,,,0.000000,5820.00,0.96,0.97,-0.060,,4.46,,1.8354
TrES-2 b,Transit,0,,,,0.003600,,,0.94,-0.010,,,,
TrES-2 b,Transit,0,,,0.89500,0.000000,5795.00,1.00,1.05,0.060,,4.46,,
TrES-2 b,Transit,0,0.035670,,0.88400,,5850.00,0.96,0.99,-0.150,,4.47,3.400,1.5570
TrES-2 b,Transit,0,,,,,5850.00,1.00,0.98,,,,,
TrES-2 b,Transit,0,,,,0.000000,,0.94,0.98,,,,,
TrES-2 b,Transit,0,0.036700,,,,5960.00,1.00,1.08,,,4.40,,
TrES-2 b,Transit,0,,,,,5819.00,1.05,,,,,,
TrES-2 b,Transit,0,,,,,5850.00,1.00,0.98,-0.150,,4.43,5.100,1.3750
TrES-2 b,Transit,0,,,,,5854.00,1.02,1.06,-0.030,0.038,4.45,,1.4203
TrES-2 b,Transit,0,,,,,5860.00,0.97,0.99,-0.100,,4.46,3.550,
TrES-2 b,Transit,0,0.035000,,,0.000000,5850.00,0.95,0.94,-0.150,,4.46,,1.8318
TrES-2 b,Transit,0,0.035030,,1.14000,,5850.00,0.95,0.94,-0.150,,4.45,5.800,1.5300
TrES-2 b,Transit,0,,,,0.000000,5854.00,1.02,1.06,-0.030,0.038,4.45,,1.4203
TrES-2 b,Transit,0,,,,,5854.00,1.02,1.06,-0.030,0.038,4.45,,1.4203
TrES-2 b,Transit,0,0.036350,,0.83100,,5795.00,1.00,1.05,0.060,,4.46,2.500,1.4690
TrES-2 b,Transit,0,0.035560,,0.77000,0.000000,5854.00,1.02,1.06,-0.030,0.038,4.45,,1.4203
TrES-2 b,Transit,0,0.035580,,0.81300,,5850.00,1.00,0.98,,0.025,,,
TrES-2 b,Transit,0,0.036700,,0.80000,,5850.00,1.00,0.98,-0.150,,4.43,,
TrES-2 b,Transit,0,0.035630,,0.89100,0.018000,5850.00,0.95,0.99,-0.150,-0.023,4.40,3.100,1.6300
TrES-2 b,Transit,0,0.036700,,2.42000,0.000200,5850.00,,,-0.150,,4.43,,
TrES-2 b,Transit,0,0.035000,,,0.000000,5850.00,0.95,0.94,-0.150,,4.46,,1.8318
TrES-2 b,Transit,0,0.035000,,,0.000000,5850.00,0.95,0.94,-0.150,,4.46,,1.8318
TrES-2 b,Transit,0,,,,,5854.00,1.02,1.06,-0.030,0.038,4.45,,1.4203
TrES-2 b,Transit,0,0.035570,,0.82000,0.002800,5850.00,1.00,0.98,0.150,,,5.000,
TrES-2 b,Transit,0,,,,0.000000,5850.00,1.12,1.36,-0.150,,4.43,,1.3800
TrES-3 b,Transit,0,0.022760,,1.05000,,5650.00,0.82,0.92,-0.190,,4.57,1.000,2.3220
TrES-3 b,Transit,0,0.022830,,1.14380,,5650.00,0.82,0.93,-0.190,,4.58,0.100,2.3950
TrES-3 b,Transit,0,,,,0.170000,,,0.93,-0.200,,,,
TrES-3 b,Transit,0,0.022600,,,,5720.00,0.80,0.90,,,4.60,,
TrES-3 b,Transit,0,0.022720,,1.06500,,5650.00,0.81,0.92,-0.190,-0.228,4.58,0.600,2.4700
TrES-3 b,Transit,0,0.022820,,0.99400,0.000000,5650.00,0.83,0.93,,-0.204,,,
TrES-3 b,Transit,0,,,,,5489.00,0.82,0.96,-0.240,-0.260,4.59,,2.4582
TrES-3 b,Transit,0,0.022840,,0.91700,0.043000,5650.00,0.83,0.93,0.190,,,0.900,
TrES-3 b,Transit,0,,,,0.000000,,0.82,0.93,,,,,
TrES-4 b,Transit,0,,,,0.000000,6200.00,1.66,1.08,0.140,,4.06,,0.3300
TrES-4 b,Transit,0,,,,0.015000,,,1.34,0.140,,,,
TrES-4 b,Transit,0,0.051590,,0.09900,0.015000,6295.00,1.81,1.45,0.280,,,2.200,
TrES-4 b,Transit,0,0.050920,,0.21300,,6200.00,1.82,1.39,0.140,0.642,4.06,2.900,0.3280
TrES-4 b,Transit,0,0.050910,,0.20900,0.000000,6184.00,2.01,1.18,0.260,0.726,3.90,,0.2053
TrES-4 b,Transit,0,0.051600,,0.09900,0.016000,6295.00,1.81,1.45,0.280,,4.09,2.200,0.3470
TrES-4 b,Transit,0,0.050200,,0.21400,,6200.00,1.83,1.34,0.140,,4.04,2.500,0.3060
TrES-4 b,Transit,0,,,,0.000000,,1.85,1.40,,,,,
TrES-4 b,Transit,0,0.050840,,0.23000,0.000000,6200.00,,,0.140,,4.06,,
TrES-4 b,Transit,0,0.049650,,0.19700,,6200.00,1.92,1.29,0.140,,3.98,3.700,0.2560
TrES-5 b,Transit,0,0.024590,,1.31000,,5171.00,0.87,0.90,0.200,,4.52,,1.9450
TrES-5 b,Transit,0,0.024500,,1.37700,,,0.85,,,,4.53,,2.0410
TrES-5 b,Transit,0,0.024460,,1.25000,0.000000,5171.00,0.87,0.89,,,,,
TrES-5 b,Transit,0,0.024520,,1.25700,0.030000,5171.00,0.87,0.89,0.200,,,7.400,
UKIRT-2017-BLG-001L b,Microlensing,0,4.180000,,,,,,0.81,,,,,
USco CTIO 108 b,Imaging,0,670.000000,,,,2700.00,,0.06,,-1.950,,,
USco1556 b,Imaging,0,3500.000000,,,,3410.00,,0.33,,-1.090,,0.007,
USco1621 b,Imaging,0,2880.000000,,,,3460.00,,0.36,,-1.020,,0.007,
UZ For b,Eclipse Timing Variations,0,5.900000,,,0.040000,,,0.70,,,,,
UZ For c,Eclipse Timing Variations,0,2.800000,,,0.050000,,,0.70,,,,,
V0391 Peg b,Pulsation Timing Variations,0,1.700000,1017.05600,,0.000000,29300.00,0.23,0.50,,,5.40,10.000,
V1298 Tau b,Transit,0,0.168800,,,0.290000,,1.34,1.10,,,,0.023,
V1298 Tau b,Transit,0,0.168700,,,0.112000,4970.00,1.31,1.10,,-0.030,4.25,0.023,0.6790
V1298 Tau c,Transit,0,0.082500,,,0.430000,,1.34,1.10,,,,0.023,
V1298 Tau d,Transit,0,0.108300,,,0.210000,,1.34,1.10,,,,0.023,
V1298 Tau e,Transit,0,0.308000,,,0.570000,,1.34,1.10,,,,0.023,
V830 Tau b,Radial Velocity,0,0.057000,200.23290,,0.000000,4250.00,2.00,1.00,,0.080,,0.002,
V830 Tau b,Radial Velocity,0,0.057000,181.16310,,,4250.00,2.00,1.00,,,,0.002,
VHS J125601.92-125723.9 b,Imaging,0,,,,,,,0.06,,,,0.200,
VHS J125601.92-125723.9 b,Imaging,0,,,,,,,0.06,,,,0.400,
VHS J125601.92-125723.9 b,Imaging,0,102.000000,,,,2620.00,,0.07,,-3.140,5.05,0.225,
WASP-1 b,Transit,0,0.039570,,0.32800,,,1.52,1.30,,0.459,,,
WASP-1 b,Transit,0,0.038890,,0.34800,0.000000,,1.47,1.24,,0.441,,3.400,0.5480
WASP-1 b,Transit,0,,,,0.008200,,,1.27,0.140,,,,
WASP-1 b,Transit,0,0.038980,,0.34979,,6110.00,1.46,1.24,0.230,,4.21,3.000,0.5680
WASP-1 b,Transit,0,0.038890,,0.34609,0.000000,6110.00,,,0.260,,4.19,,
WASP-1 b,Transit,0,0.039580,,0.33900,0.013000,6110.00,1.52,1.30,0.260,,,3.000,
WASP-1 b,Transit,0,0.039200,,0.36575,,6213.00,1.47,1.26,0.170,,4.21,2.700,0.5680
WASP-1 b,Transit,0,0.038200,,,0.000000,6200.00,1.24,1.15,0.100,,4.30,,
WASP-1 b,Transit,0,,,,0.000000,6110.00,,,,,,,
WASP-10 b,Transit,0,0.037800,,3.46000,,4675.00,0.70,0.75,0.030,,4.62,,3.0400
WASP-10 b,Transit,0,,,,0.047300,,,0.75,0.050,,,,
WASP-10 b,Transit,0,0.036900,,1.90000,0.059000,4675.00,0.78,0.70,0.030,,4.40,,2.1300
WASP-10 b,Transit,0,0.037810,,4.14000,,4675.00,0.70,0.75,,,,,
WASP-10 b,Transit,0,,,,0.047300,4675.00,,,0.030,,4.63,,
WASP-10 b,Transit,0,0.038000,,3.10000,0.000000,4700.00,,,,,,0.600,
WASP-10 b,Transit,0,0.037800,,3.28000,0.060100,4680.00,0.70,0.75,0.030,,,7.000,
WASP-100 b,Transit,0,0.045740,,0.52000,0.044000,6900.00,2.00,1.57,0.030,,,1.570,
WASP-100 b,Transit,0,,,,,6733.00,1.77,1.44,,0.766,4.10,,0.3633
WASP-100 b,Transit,0,,,,0.000000,6900.00,1.57,0.77,-0.030,,4.35,,0.2800
WASP-100 b,Transit,0,,,,0.000000,,2.00,1.57,,,,,
WASP-100 b,Transit,0,0.045700,,0.53000,0.000000,6900.00,,1.57,-0.030,,4.04,,0.2800
WASP-101 b,Transit,0,0.050570,,0.21900,0.068000,6380.00,1.29,1.34,0.200,,,1.140,
WASP-101 b,Transit,0,0.050600,,0.24000,0.000000,6400.00,1.29,1.34,0.200,,4.34,0.900,0.8820
WASP-101 b,Transit,0,,,,0.000000,6380.00,1.31,1.41,0.200,,4.31,,0.8900
WASP-103 b,Transit,0,0.019870,,0.51100,0.150000,6110.00,1.44,1.22,0.060,,,4.000,
WASP-103 b,Transit,0,0.019790,,0.41000,,,1.41,1.21,,,4.22,3.800,0.6030
WASP-103 b,Transit,0,0.019850,,,0.000000,6110.00,1.44,1.22,,,,,
WASP-103 b,Transit,0,0.019850,,0.55000,,6110.00,1.44,1.22,0.060,0.413,4.22,4.000,0.5830
WASP-104 b,Transit,0,0.029180,,1.07400,0.000000,5475.00,0.96,1.08,0.320,,4.50,3.000,1.7000
WASP-104 b,Transit,0,0.029200,,1.07000,0.015000,5450.00,0.96,1.08,0.320,,,3.000,
WASP-105 b,Transit,0,0.075000,,2.65000,0.000000,5070.00,0.90,0.89,0.280,,4.20,,1.7300
WASP-106 b,Transit,0,0.091700,,1.86000,0.046000,6000.00,1.39,1.19,0.090,,,7.000,
WASP-106 b,Transit,0,,,,0.000000,6055.00,1.31,0.93,-0.090,,4.23,,0.5700
WASP-106 b,Transit,0,0.091700,,1.86000,0.000000,6055.00,1.39,1.19,-0.090,,4.23,7.000,0.6270
WASP-107 b,Transit,0,0.055300,,0.20200,0.000000,,0.66,0.69,,,,8.300,3.4410
WASP-107 b,Transit,0,,,,,4233.20,0.73,,,,4.64,,
WASP-107 b,Transit,0,0.055000,,0.19000,0.000000,4430.00,0.66,0.69,0.020,,4.50,,3.4500
WASP-107 b,Transit,0,0.055800,,,0.000000,4430.00,0.66,0.69,0.020,,4.50,,
WASP-107 b,Transit,0,,,0.13400,0.060000,4425.00,0.67,0.68,0.020,-0.879,4.63,3.400,
WASP-107 c,Radial Velocity,0,,115.00000,,0.280000,4425.00,0.67,0.68,0.020,-0.879,4.63,3.400,
WASP-11 b,Transit,0,0.043750,,0.63200,,4900.00,0.77,0.81,0.120,,4.57,7.600,2.4620
WASP-11 b,Transit,0,0.043760,,0.67900,0.030000,4900.00,0.77,0.81,0.120,,,7.600,
WASP-11 b,Transit,0,,,,0.028000,,,0.83,0.250,,,,
WASP-11 b,Transit,0,0.043500,,0.59400,0.000000,4980.00,0.79,0.83,,-0.469,,,
WASP-11 b,Transit,0,,,,0.000000,4800.00,0.89,1.42,0.000,,4.45,,2.8000
WASP-11 b,Transit,0,0.043000,,0.92000,0.000000,4800.00,0.74,0.77,0.000,0.000,4.45,,
WASP-110 b,Transit,0,,,,0.000000,5400.00,,,-0.060,,4.10,,
WASP-113 b,Transit,0,0.058850,,0.22800,0.000000,5890.00,1.61,1.32,0.100,,4.20,6.200,0.4470
WASP-114 b,Transit,0,0.028510,,0.97000,0.012000,5940.00,1.43,1.29,0.140,,4.30,4.300,0.6190
WASP-117 b,Transit,0,0.094640,,0.34100,0.300000,6040.00,1.17,1.13,0.110,,,4.600,
WASP-117 b,Transit,0,,,,0.300000,6040.00,1.22,1.29,-0.110,,4.28,,1.0000
WASP-117 b,Transit,0,,,,,5984.90,1.28,1.10,-0.360,0.274,4.27,,0.7477
WASP-117 b,Transit,0,0.094590,,0.34450,0.302000,6038.00,1.17,1.13,-0.110,,4.28,4.600,0.9900
WASP-118 b,Transit,0,0.053560,,,,,1.70,1.32,,,,,
WASP-118 b,Transit,0,0.054530,,0.23300,0.000000,6410.00,1.70,1.32,0.160,,4.10,1.170,0.3820
WASP-118 b,Transit,0,0.054500,,0.25600,0.000000,,1.75,1.32,,,,2.300,0.3447
WASP-118 b,Transit,0,,,,,,1.38,,,,,,
WASP-119 b,Transit,0,0.036300,,0.70000,0.058000,5650.00,1.20,1.02,0.140,,4.26,8.000,0.7600
WASP-119 b,Transit,0,,,,,5650.00,1.14,1.00,,0.075,4.33,,0.9583
WASP-12 b,Transit,0,,,,0.037000,,,1.38,0.070,,,,
WASP-12 b,Transit,0,,,,0.050000,6300.00,1.59,1.20,0.300,,4.38,,0.4200
WASP-12 b,Transit,0,,,,,6154.00,1.75,1.17,0.210,0.597,4.02,,0.3081
WASP-12 b,Transit,0,0.023200,,0.26700,,6360.00,1.66,1.43,,,,,
WASP-12 b,Transit,0,0.023400,464.03180,0.26600,0.000000,6360.00,1.66,1.43,0.330,0.607,4.16,,0.4460
WASP-12 b,Transit,0,,,,,6154.00,1.75,1.17,0.210,0.597,4.02,,0.3081
WASP-12 b,Transit,0,,,,,,,,,,,,
WASP-12 b,Transit,0,,,,,6154.00,1.75,1.17,0.210,0.597,4.02,,0.3081
WASP-12 b,Transit,0,0.023500,,0.43400,0.044700,6300.00,,,0.300,,4.38,,
WASP-12 b,Transit,0,,,0.31100,0.000000,6300.00,1.57,1.35,0.300,,4.17,,
WASP-12 b,Transit,0,0.022900,,0.24000,0.049000,6300.00,1.57,1.35,,,,,
WASP-12 b,Transit,0,0.023090,,0.29300,,6250.00,1.62,1.38,0.320,,4.16,2.000,0.4580
WASP-12 b,Transit,0,0.023120,,0.28300,0.020000,6250.00,1.62,1.38,0.320,,,2.000,
WASP-120 b,Transit,0,0.051400,,2.00000,0.057000,6450.00,1.87,1.39,-0.050,,4.04,2.600,0.2990
WASP-121 b,Transit,0,,,,0.000000,,1.46,,,,,,
WASP-121 b,Transit,0,0.025000,,,,,,,0.130,,,,
WASP-121 b,Transit,0,0.025440,,0.24300,0.000000,6459.00,1.46,1.35,0.130,0.519,4.24,1.500,0.6160
WASP-121 b,Transit,0,,,,,6776.00,1.52,1.45,,0.644,4.23,,0.5792
WASP-123 b,Transit,0,0.042630,,0.52100,0.000000,5740.00,1.28,1.17,0.180,,4.29,6.900,0.7730
WASP-124 b,Transit,0,0.044900,,0.43000,0.017000,6050.00,1.02,1.07,-0.020,,4.44,2.100,1.3900
WASP-126 b,Transit,0,,,,,5800.00,1.27,1.12,,,,,
WASP-126 b,Transit,0,,,,,5675.54,1.24,1.01,0.207,0.159,4.25,,0.7437
WASP-126 b,Transit,0,0.044900,,0.41000,0.180000,5800.00,1.27,1.12,0.170,,4.28,6.400,0.7900
WASP-126 b,Transit,0,,,,,5800.00,1.24,,,,4.28,,
WASP-126 c,Transit Timing Variations,0,,,,0.050000,5800.00,1.27,1.12,,,,,
WASP-127 b,Transit,0,,,,0.000000,5828.01,1.35,1.05,-0.193,0.276,4.20,,0.6052
WASP-127 b,Transit,0,0.052000,,0.09000,,5620.00,1.39,1.08,-0.180,,4.18,11.410,0.5690
WASP-127 b,Transit,0,0.048400,,0.09700,0.000000,,1.33,0.95,,,,,0.5650
WASP-129 b,Transit,0,0.062800,,1.60000,0.096000,5900.00,0.90,1.00,0.150,,4.53,1.000,1.9400
WASP-13 b,Transit,0,0.053620,,0.22200,0.000000,,1.56,1.09,,,,,
WASP-13 b,Transit,0,,,,0.000000,5989.00,,1.19,0.000,,4.16,,
